TransactionID,CustomerID,ProductID,TransactionDate,Quantity,Price,Discount,TotalAmount
T00141,C033,P026,2024-01-24 06:19:05.945945945,4,86.74,0.29,246.34
T00142,C170,P038,2024-01-24 10:18:22.702702702,3,1847.34,0.15,4710.72
T00143,C132,P028,2024-01-24 14:17:39.459459459,2,1459.37,0.0,2918.74
T00144,C132,P020,2024-01-24 18:16:56.216216216,5,755.48,0.25,2833.05
T00145,C028,P009,2024-01-24 22:16:12.972972972,1,136.25,0.08,125.35
T00146,C003,P011,2024-01-25 02:15:29.729729729,4,535.63,0.08,1971.12
T00147,C150,P001,2024-01-25 06:14:46.486486486,5,1130.12,0.04,5424.58
T00148,C069,P014,2024-01-25 10:14:03.243243243,4,1192.73,0.05,4532.37
T00149,C151,P030,2024-01-25 14:13:19.999999999,3,334.96,0.27,733.56
T00150,C089,P028,2024-01-25 18:12:36.756756756,5,987.83,0.0,4939.15
T00151,C179,P010,2024-01-25 22:11:53.513513513,2,1539.77,0.06,2894.77
T00152,C156,P011,2024-01-26 02:11:10.270270270,1,989.42,0.01,979.53
T00153,C122,P001,2024-01-26 06:10:27.027027027,4,601.33,0.2,1924.26
T00154,C128,P029,2024-01-26 10:09:43.783783783,4,834.15,0.17,2769.38
T00155,C069,P037,2024-01-26 14:09:00.540540540,5,454.82,0.27,1660.09
T00156,C159,P003,2024-01-26 18:08:17.297297297,3,1322.35,0.06,3729.03
T00157,C108,P046,2024-01-26 22:07:34.054054054,3,1677.59,0.06,4730.8
T00158,C003,P004,2024-01-27 02:06:50.810810810,2,1893.91,0.22,2954.5
T00159,C087,P048,2024-01-27 06:06:07.567567567,3,608.93,0.29,1297.02
T00160,C130,P010,2024-01-27 10:05:24.324324324,3,1991.28,0.07,5555.67
T00161,C045,P040,2024-01-27 14:04:41.081081081,2,233.46,0.04,448.24
T00162,C123,P022,2024-01-27 18:03:57.837837837,1,1753.97,0.18,1438.26
T00163,C044,P037,2024-01-27 22:03:14.594594594,2,1149.56,0.13,2000.23
T00164,C043,P046,2024-01-28 02:02:31.351351351,5,473.61,0.04,2273.33
T00165,C080,P002,2024-01-28 06:01:48.108108108,3,643.18,0.2,1543.63
T00166,C081,P044,2024-01-28 10:01:04.864864864,1,1111.19,0.19,900.06
T00167,C105,P021,2024-01-28 14:00:21.621621621,3,1361.08,0.08,3756.58
T00168,C099,P016,2024-01-28 17:59:38.378378378,4,1629.77,0.08,5997.55
T00169,C141,P018,2024-01-28 21:58:55.135135135,5,1284.41,0.24,4880.76
T00170,C139,P042,2024-01-29 01:58:11.891891891,3,1138.94,0.08,3143.47
T00171,C104,P005,2024-01-29 05:57:28.648648648,4,1847.4,0.23,5689.99
T00172,C099,P031,2024-01-29 09:56:45.405405405,4,1182.75,0.3,3311.7
T00173,C109,P003,2024-01-29 13:56:02.162162162,3,193.36,0.27,423.46
T00174,C038,P018,2024-01-29 17:55:18.918918919,2,330.19,0.11,587.74
T00175,C024,P010,2024-01-29 21:54:35.675675675,3,1012.17,0.09,2763.22
T00176,C159,P002,2024-01-30 01:53:52.432432432,5,775.95,0.25,2909.81
T00177,C194,P049,2024-01-30 05:53:09.189189189,4,675.07,0.23,2079.22
T00178,C120,P018,2024-01-30 09:52:25.945945946,3,309.11,0.16,778.96
T00179,C138,P007,2024-01-30 13:51:42.702702702,4,933.17,0.04,3583.37
T00180,C195,P025,2024-01-30 17:50:59.459459459,5,1788.08,0.22,6973.51
T00181,C066,P037,2024-01-30 21:50:16.216216216,2,612.75,0.25,919.12
T00182,C155,P043,2024-01-31 01:49:32.972972973,2,963.53,0.04,1849.98
T00183,C104,P027,2024-01-31 05:48:49.729729729,1,984.53,0.23,758.09
T00184,C148,P049,2024-01-31 09:48:06.486486486,5,629.97,0.1,2834.87
T00185,C105,P003,2024-01-31 13:47:23.243243243,2,699.92,0.25,1049.88
T00186,C093,P012,2024-01-31 17:46:40.000000000,4,783.61,0.01,3103.1
T00187,C102,P042,2024-01-31 21:45:56.756756756,2,1184.53,0.01,2345.37
T00188,C095,P002,2024-02-01 01:45:13.513513513,1,1275.07,0.3,892.55
T00189,C130,P035,2024-02-01 05:44:30.270270270,2,945.11,0.15,1606.69
T00190,C056,P021,2024-02-01 09:43:47.027027027,2,1103.03,0.22,1720.73
T00191,C118,P004,2024-02-01 13:43:03.783783783,3,787.28,0.14,2031.18
T00192,C039,P002,2024-02-01 17:42:20.540540540,2,1799.16,0.26,2662.76
T00193,C184,P044,2024-02-01 21:41:37.297297297,5,418.28,0.3,1463.98
T00194,C127,P032,2024-02-02 01:40:54.054054054,1,1135.52,0.26,840.28
T00195,C033,P031,2024-02-02 05:40:10.810810810,5,1238.19,0.14,5324.22
T00196,C168,P016,2024-02-02 09:39:27.567567567,2,1186.03,0.11,2111.13
T00197,C193,P020,2024-02-02 13:38:44.324324324,1,859.44,0.06,807.87
T00198,C200,P030,2024-02-02 17:38:01.081081081,4,1966.67,0.2,6293.34
T00199,C110,P009,2024-02-02 21:37:17.837837837,3,288.17,0.14,743.48
T00200,C087,P013,2024-02-03 01:36:34.594594594,1,1051.82,0.03,1020.27
T00201,C042,P014,2024-02-03 05:35:51.351351351,1,1060.23,0.08,975.41
T00202,C117,P024,2024-02-03 09:35:08.108108108,3,1161.6,0.25,2613.6
T00203,C102,P027,2024-02-03 13:34:24.864864864,4,1203.9,0.1,4334.04
T00204,C068,P001,2024-02-03 17:33:41.621621621,5,271.39,0.01,1343.38
T00205,C002,P047,2024-02-03 21:32:58.378378378,4,563.53,0.11,2006.17
T00206,C096,P013,2024-02-04 01:32:15.135135135,4,244.65,0.09,890.53
T00207,C010,P044,2024-02-04 05:31:31.891891891,3,775.45,0.11,2070.45
T00208,C042,P025,2024-02-04 09:30:48.648648648,4,1598.68,0.25,4796.04
T00209,C078,P003,2024-02-04 13:30:05.405405405,4,468.81,0.17,1556.45
T00210,C107,P006,2024-02-04 17:29:22.162162162,3,1163.41,0.2,2792.18
T00211,C128,P003,2024-02-04 21:28:38.918918918,5,1052.62,0.28,3789.43
T00212,C129,P039,2024-02-05 01:27:55.675675675,5,1375.73,0.23,5296.56
T00213,C199,P035,2024-02-05 05:27:12.432432432,5,1620.74,0.22,6320.89
T00214,C172,P042,2024-02-05 09:26:29.189189189,2,1630.69,0.15,2772.17
T00215,C179,P049,2024-02-05 13:25:45.945945946,5,1603.07,0.06,7534.43
T00216,C094,P021,2024-02-05 17:25:02.702702702,3,1752.19,0.01,5204.0
T00217,C133,P028,2024-02-05 21:24:19.459459459,3,1242.79,0.14,3206.4
T00218,C017,P001,2024-02-06 01:23:36.216216216,5,1350.35,0.13,5874.02
T00219,C142,P039,2024-02-06 05:22:52.972972973,4,1047.7,0.09,3813.63
T00220,C035,P050,2024-02-06 09:22:09.729729729,5,122.83,0.18,503.6
T00221,C175,P022,2024-02-06 13:21:26.486486486,5,351.55,0.18,1441.36
T00222,C166,P017,2024-02-06 17:20:43.243243243,1,588.89,0.18,482.89
T00223,C184,P047,2024-02-06 21:20:00.000000000,4,263.86,0.27,770.47
T00224,C032,P019,2024-02-07 01:19:16.756756756,2,1027.13,0.1,1848.83
T00225,C079,P031,2024-02-07 05:18:33.513513513,2,1278.72,0.3,1790.21
T00226,C002,P035,2024-02-07 09:17:50.270270270,4,1610.17,0.07,5989.83
T00227,C062,P022,2024-02-07 13:17:07.027027027,2,1693.91,0.27,2473.11
T00228,C059,P028,2024-02-07 17:16:23.783783783,5,273.24,0.16,1147.61
T00229,C134,P049,2024-02-07 21:15:40.540540540,1,897.62,0.01,888.64
T00230,C111,P007,2024-02-08 01:14:57.297297297,5,1969.59,0.22,7681.4
T00231,C066,P011,2024-02-08 05:14:14.054054054,3,700.77,0.05,1997.19
T00232,C129,P030,2024-02-08 09:13:30.810810810,1,50.23,0.27,36.67
T00233,C051,P011,2024-02-08 13:12:47.567567567,3,367.59,0.17,915.3
T00234,C042,P023,2024-02-08 17:12:04.324324324,1,968.89,0.0,968.89
T00235,C033,P017,2024-02-08 21:11:21.081081081,2,1167.54,0.15,1984.82
T00236,C090,P003,2024-02-09 01:10:37.837837837,5,1520.52,0.18,6234.13
T00237,C177,P045,2024-02-09 05:09:54.594594594,2,1881.47,0.07,3499.53
T00238,C193,P015,2024-02-09 09:09:11.351351351,3,1363.28,0.15,3476.36
T00239,C059,P011,2024-02-09 13:08:28.108108108,2,1480.44,0.12,2605.57
T00240,C178,P026,2024-02-09 17:07:44.864864864,2,418.84,0.16,703.65
T00241,C177,P007,2024-02-09 21:07:01.621621621,1,271.85,0.13,236.51
T00242,C151,P031,2024-02-10 01:06:18.378378378,3,252.9,0.03,735.94
T00243,C039,P037,2024-02-10 05:05:35.135135135,4,881.51,0.09,3208.7
T00244,C107,P010,2024-02-10 09:04:51.891891891,5,1008.72,0.24,3833.14
T00245,C164,P023,2024-02-10 13:04:08.648648648,1,269.31,0.26,199.29
T00246,C014,P040,2024-02-10 17:03:25.405405405,5,1696.76,0.22,6617.36
T00247,C078,P029,2024-02-10 21:02:42.162162162,4,1913.83,0.22,5971.15
T00248,C050,P009,2024-02-11 01:01:58.918918918,1,531.05,0.26,392.98
T00249,C089,P042,2024-02-11 05:01:15.675675675,4,947.39,0.11,3372.71
T00250,C083,P005,2024-02-11 09:00:32.432432432,5,1067.37,0.03,5176.74
T00251,C048,P021,2024-02-11 12:59:49.189189189,1,1572.47,0.25,1179.35
T00252,C098,P049,2024-02-11 16:59:05.945945945,4,1560.81,0.04,5993.51
T00253,C014,P011,2024-02-11 20:58:22.702702702,3,1129.21,0.13,2947.24
T00254,C031,P029,2024-02-12 00:57:39.459459459,1,1085.1,0.06,1019.99
T00255,C145,P040,2024-02-12 04:56:56.216216216,2,613.44,0.2,981.5
T00256,C031,P017,2024-02-12 08:56:12.972972972,5,297.18,0.15,1263.02
T00257,C060,P007,2024-02-12 12:55:29.729729729,2,376.47,0.26,557.18
T00258,C030,P041,2024-02-12 16:54:46.486486486,4,148.3,0.28,427.1
T00259,C199,P012,2024-02-12 20:54:03.243243243,4,1597.44,0.22,4984.01
T00260,C187,P039,2024-02-13 00:53:20.000000000,1,1601.33,0.12,1409.17
T00261,C079,P020,2024-02-13 04:52:36.756756756,2,1031.97,0.1,1857.55
T00262,C056,P009,2024-02-13 08:51:53.513513513,4,1729.9,0.26,5120.5
T00263,C008,P012,2024-02-13 12:51:10.270270270,2,1873.21,0.0,3746.42
T00264,C048,P029,2024-02-13 16:50:27.027027027,3,742.41,0.15,1893.15
T00265,C074,P043,2024-02-13 20:49:43.783783783,1,85.72,0.03,83.15
T00266,C010,P035,2024-02-14 00:49:00.540540540,1,389.88,0.2,311.9
T00267,C110,P028,2024-02-14 04:48:17.297297297,5,965.7,0.3,3379.95
T00268,C084,P033,2024-02-14 08:47:34.054054054,5,834.98,0.19,3381.67
T00269,C151,P028,2024-02-14 12:46:50.810810810,1,614.96,0.23,473.52
T00270,C116,P016,2024-02-14 16:46:07.567567567,5,1470.54,0.15,6249.8
T00271,C123,P023,2024-02-14 20:45:24.324324324,5,746.71,0.08,3434.87
T00272,C006,P003,2024-02-15 00:44:41.081081081,5,67.3,0.1,302.85
T00273,C062,P027,2024-02-15 04:43:57.837837837,3,1626.71,0.26,3611.3
T00274,C055,P004,2024-02-15 08:43:14.594594594,3,1568.94,0.21,3718.39
T00275,C159,P040,2024-02-15 12:42:31.351351351,4,108.56,0.23,334.36
T00276,C085,P047,2024-02-15 16:41:48.108108108,1,1820.2,0.15,1547.17
T00277,C173,P008,2024-02-15 20:41:04.864864864,5,282.33,0.2,1129.32
T00278,C010,P049,2024-02-16 00:40:21.621621621,3,180.27,0.15,459.69
T00279,C007,P039,2024-02-16 04:39:38.378378378,1,1180.8,0.12,1039.1
T00280,C100,P044,2024-02-16 08:38:55.135135135,2,725.74,0.05,1378.91
T00281,C017,P031,2024-02-16 12:38:11.891891891,2,143.53,0.24,218.17
T00282,C196,P004,2024-02-16 16:37:28.648648648,1,266.78,0.21,210.76
T00283,C127,P029,2024-02-16 20:36:45.405405405,5,73.18,0.15,311.02
T00284,C009,P047,2024-02-17 00:36:02.162162162,2,1040.77,0.16,1748.49
T00285,C120,P043,2024-02-17 04:35:18.918918918,3,1448.4,0.22,3389.26
T00286,C044,P024,2024-02-17 08:34:35.675675675,3,261.65,0.03,761.4
T00287,C128,P039,2024-02-17 12:33:52.432432432,2,312.02,0.05,592.84
T00288,C118,P035,2024-02-17 16:33:09.189189189,3,793.58,0.15,2023.63
T00289,C025,P034,2024-02-17 20:32:25.945945945,1,220.14,0.19,178.31
T00290,C043,P011,2024-02-18 00:31:42.702702702,5,1135.61,0.03,5507.71
T00291,C087,P025,2024-02-18 04:30:59.459459459,1,984.29,0.15,836.65
T00292,C142,P035,2024-02-18 08:30:16.216216216,1,421.69,0.09,383.74
T00293,C113,P039,2024-02-18 12:29:32.972972972,2,1313.49,0.06,2469.36
T00294,C119,P022,2024-02-18 16:28:49.729729729,4,1786.91,0.19,5789.59
T00295,C096,P043,2024-02-18 20:28:06.486486486,2,231.21,0.27,337.57
T00296,C075,P041,2024-02-19 00:27:23.243243243,5,1455.6,0.2,5822.4
T00297,C112,P014,2024-02-19 04:26:39.999999999,5,1733.57,0.05,8234.46
T00298,C158,P040,2024-02-19 08:25:56.756756756,2,1898.81,0.12,3341.91
T00299,C098,P024,2024-02-19 12:25:13.513513513,5,465.35,0.29,1651.99
T00300,C083,P048,2024-02-19 16:24:30.270270270,3,1676.09,0.16,4223.75
T00301,C125,P017,2024-02-19 20:23:47.027027027,1,1615.07,0.04,1550.47
T00302,C049,P002,2024-02-20 00:23:03.783783783,5,1273.54,0.01,6304.02
T00303,C065,P018,2024-02-20 04:22:20.540540540,4,1289.46,0.03,5003.1
T00304,C068,P024,2024-02-20 08:21:37.297297297,4,1244.56,0.28,3584.33
T00305,C118,P024,2024-02-20 12:20:54.054054054,5,1464.28,0.2,5857.12
T00306,C157,P023,2024-02-20 16:20:10.810810810,1,1219.02,0.17,1011.79
T00307,C182,P042,2024-02-20 20:19:27.567567567,5,794.51,0.13,3456.12
T00308,C187,P015,2024-02-21 00:18:44.324324324,1,1268.34,0.27,925.89
T00309,C200,P034,2024-02-21 04:18:01.081081081,5,1951.88,0.07,9076.24
T00310,C059,P019,2024-02-21 08:17:17.837837837,2,1358.93,0.05,2581.97
T00311,C027,P016,2024-02-21 12:16:34.594594594,4,157.3,0.12,553.7
T00312,C138,P012,2024-02-21 16:15:51.351351351,4,372.83,0.0,1491.32
T00313,C162,P024,2024-02-21 20:15:08.108108108,4,345.57,0.19,1119.65
T00314,C095,P030,2024-02-22 00:14:24.864864864,3,496.93,0.24,1133.0
T00315,C048,P029,2024-02-22 04:13:41.621621621,1,820.04,0.03,795.44
T00316,C025,P019,2024-02-22 08:12:58.378378378,4,1257.94,0.15,4277.0
T00317,C116,P023,2024-02-22 12:12:15.135135135,4,340.15,0.23,1047.66
T00318,C189,P045,2024-02-22 16:11:31.891891892,4,1378.49,0.29,3914.91
T00319,C059,P028,2024-02-22 20:10:48.648648648,3,1754.64,0.16,4421.69
T00320,C151,P045,2024-02-23 00:10:05.405405405,3,200.39,0.18,492.96
T00321,C126,P033,2024-02-23 04:09:22.162162162,3,1493.85,0.19,3630.06
T00322,C153,P019,2024-02-23 08:08:38.918918919,1,1120.94,0.09,1020.06
T00323,C194,P012,2024-02-23 12:07:55.675675675,3,1866.25,0.02,5486.77
T00324,C131,P004,2024-02-23 16:07:12.432432432,2,1504.15,0.27,2196.06
T00325,C051,P038,2024-02-23 20:06:29.189189189,4,628.38,0.13,2186.76
T00326,C143,P011,2024-02-24 00:05:45.945945946,5,306.57,0.1,1379.57
T00327,C113,P034,2024-02-24 04:05:02.702702702,4,555.79,0.16,1867.45
T00328,C009,P007,2024-02-24 08:04:19.459459459,1,1653.89,0.15,1405.81
T00329,C158,P039,2024-02-24 12:03:36.216216216,5,364.93,0.1,1642.19
